origen;destino;nombre_transportista;total_viajes;codigo;codigo_referencia;direccion;ciudad;provincia;pais;nif;telefono;telefono_movil;email;adr;completo
CASTELLON;BARCELONA;TRANSMUAL SOLUCIONES LOGISTICAS S.L.;;;;;;;;;;623588315;trafico@logisticatransmual.com;;
CASTELLON;BARCELONA;VICENTE ROS PANACH;;;;;;;;;;963657147;transportespanach@gmail.com;;
MADRID ;BARCELONA;GRUPAJES TRANSREAL SL;;;;;;;;;;647035094;transrealgrupajes@gmai.com;;
VALENCIA;BARCELONA;TRANSMUAL SOLUCIONES LOGISTICAS S.L.;;;;;;;;;;623588315;trafico@logisticatransmual.com;;
CANTABRIA;BARCELONA;COOPERATIVA CANTABRA DE TRANSPORTES;;;;;;;;;;942260648;cocantra@cocantra.com;;
CASTELLON;VALENCIA ;VERDET CARRATALA S.A.;;;;;;;;;;961555052;vercasa@vercasa.net;;
CIUDAD REAL;VALENCIA;TRANSPORTES FERNANDEZ S.L.U.;;;;;;;;;;963421585;carmen@transportesfernandez.es;;
madrid;VALENCIA;OÑORO FERNANDEZ MIGUEL ANGEL;;;;;;;;;;616443098;transporte_syo@hotmail.com;;
BARCELONA;MADRID;QUIROSTRUCK TRANSPORTES S.L.U.;;;;;;;;;;630473060;QUROSTRUCK@GMAIL.COM;;
TOLEDO;VALENCIA  ;TRANS ARIJA S.L.;;;;;;;;;;647358269;trans-arija@hotmail.com;;
TOLEDO;MADRID;TRANS ARIJA S.L.;;;;;;;;;;647358269;trans-arija@hotmail.com;;
PONTEVEDRA;ORENSE;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
MADRID;MADRID;OÑORO FERNANDEZ MIGUEL ANGEL;;;;;;;;;;616443098;transporte_syo@hotmail.com;;
madrid;VALENCIA;TRANS ARIJA S.L.;;;;;;;;;;647358269;trans-arija@hotmail.com;;
PONTEVEDRA;ASTURIAS;GUTTRANS S.L;;;;;;;;;;985980876;info@guttrans.com;;
CASTELLON;VALENCIA;VERDET CARRATALA S.A.;;;;;;;;;;961555052;vercasa@vercasa.net;;
PONTEVEDRA;PONTEVEDRA;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
ASTURIAS;VIZCAYA;GUTTRANS S.L;;;;;;;;;;985980876;info@guttrans.com;;
ASTURIAS;VALENCIA;GUTTRANS S.L;;;;;;;;;;985980876;info@guttrans.com;;
VALENCIA;CORUÑA;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
ZARAGOZA;BARCELONA;RODIA GRUPAJES S.L.;;;;;;;;;;976654127;gasolineraurrea@yahoo.com;;
GUIPUZCOA;VALENCIA;ENLAZA PLATAFORMA VALENCIA S.L.U.;;;;;;;;;;965504050;RECOGIDAS@PBXVALENCIA.COM;;
PONTEVEDRA;MADRID;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
BURGOS;BARCELONA;TRANSBARCELONATTES. LOGISTICOS S.L.;;;;;;;;;;935689160;;;
VALENCIA;VALENCIA;VERDET CARRATALA S.A.;;;;;;;;;;961555052;vercasa@vercasa.net;;
BARCELONA;ZARAGOZA;ENLAZA PLATAFORMA VALENCIA S.L.U.;;;;;;;;;;965504050;RECOGIDAS@PBXVALENCIA.COM;;
BARCELONA;NAVARRA;GRUPAJES ESTRATEGICOS S.L.;;;;;;;;;;666676078;grupajes.es@gmail.com;;
BURGOS;VALENCIA;OPERADOR LOGISTICO LOPEZ S.L.;;;;;;;;;;961520852;recogidas@operadorlogisticolopez.com;;
CUENCA;VALENCIA;TRANSPORTES FERNANDEZ S.L.U.;;;;;;;;;;963421585;carmen@transportesfernandez.es;;
SEVILLA;SEVILLA;LANDTRANS S.A.;;;;;;;;;;932897434;internacional@landtrans.com;;
PONTEVEDRA;LEON;TRANSPORTES PATAQUINA S.L;;;;;;;;;;987512500;victoralvarezmerayo@hotmail.com;;
VALENCIA;TOLEDO;TRANS JOAQUIN BUENDIA S.L.U.;;;;;;;;;;961514924;info@transjbuendia.com;;
MADRID ;BARCELONA;GLOBAL ARION LOGISTICS S.L.;;;;;;;;;;617166500;trafico@globalarion.com;;
ZARAGOZA;MADRID;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
VIZCAYA;BARCELONA;TRANSFONT S.L.;;;;;;;;;;933362697;transfont@transfont.com;;
MADRID;SEVILLA;O.T. ELIVICO S.L.;;;;;;;;;;637507554;contabilidad@otelivicosl.com;;
CORUÑA;VALENCIA;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
BARCELONA;ZARAGOZA;RODIA GRUPAJES S.L.;;;;;;;;;;976654127;gasolineraurrea@yahoo.com;;
BARCELONA;PONTEVEDRA;Servial M.C. Logística S.L;;;;;;;;;;617 914 953;trafico@servialmc.com;;
LEON;MADRID;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
GUADALAJARA;BARCELONA;TRANSPORTES VKL 2009 S.L.;;;;;;;;;;647195877;transportesvkl@hotmail.com;;
GUIPUZCOA;MADRID;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
NAVARRA;BARCELONA;COOPERATIVA CANTABRA DE TRANSPORTES;;;;;;;;;;942260648;cocantra@cocantra.com;;
CASTELLON;VALENCIA ;VICENTE ROS PANACH;;;;;;;;;;963657147;transportespanach@gmail.com;;
LA CORUÑA;BARCELONA;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
BARCELONA;GUIPUZCOA;CUALDE LOGISTICS S.L.U.;;;;;;;;;;667433296;trafico@cualde.com;;
VIZCAYA;MADRID;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
MADRID;ZARAGOZA;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
MADRID ;BARCELONA;TRANS ARIJA S.L.;;;;;;;;;;647358269;trans-arija@hotmail.com;;
CASTELLON;VALENCIA ;VELOCITY TRANSINTERNACIONAL S.L.;;;;;;;;;;961977960;trafico@transportevelocity.com;;
VALENCIA;CASTELLON;VICENTE ROS PANACH;;;;;;;;;;963657147;transportespanach@gmail.com;;
VALENCIA;CANTABRIA;OPERADOR LOGISTICO LOPEZ S.L.;;;;;;;;;;961520852;recogidas@operadorlogisticolopez.com;;
ALICANTE;MADRID;MULTISERVICIOS EXPRESS S.L.;;;;;;;;;;965070809;trafico.gestion@multiserviciosexpress.es;;
GUIPUZCOA;BARCELONA;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
BARCELONA;TERUEL;EJE DEL EBRO S.L. ;;;;;;;;;;948314299;;;
PONTEVEDRA;MADRID;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
CORDOBA;SEVILLA;ANTONIO JESUS LOPEZ CARRION;;;;;;;;;;685815968;transporteslopcarr@gmail.com;;
madrid;VALENCIA;OPERADOR LOGISTICO LOPEZ S.L.;;;;;;;;;;961520852;recogidas@operadorlogisticolopez.com;;
VALENCIA;MURCIA;TRANSPORTES GUERRERO 96 S.L.;;;;;;;;;;902301059;sandra@transportesguerrero.es;;
MURCIA;MADRID;TRANSPORTES GUERRERO 96 S.L.;;;;;;;;;;902301059;sandra@transportesguerrero.es;;
BARCELONA;VIZCAYA;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
BARCELONA;GUIPUZCOA;GRUPAJES ESTRATEGICOS S.L.;;;;;;;;;;666676078;grupajes.es@gmail.com;;
BARCELONA;CASTELLON;TRANSMUAL SOLUCIONES LOGISTICAS S.L.;;;;;;;;;;623588315;trafico@logisticatransmual.com;;
GUIPUZCOA;BARCELONA;FELIX LOIDI ERVITI;;;;;;;;;;948243073;loidifelix@gmail.com;;
PONTEVEDRA;VALENCIA;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
SEVILLA;CADIZ;TRANSPORTES MOYA LOGISTICA INTEGRAL SL;;;;;;;;;;608553000;luis.m.moya.v@gmail.com;;
SEVILLA;CORDOBA;ANTONIO JESUS LOPEZ CARRION;;;;;;;;;;685815968;transporteslopcarr@gmail.com;;
MURCIA;VALENCIA;MULTISERVICIOS EXPRESS S.L.;;;;;;;;;;965070809;trafico.gestion@multiserviciosexpress.es;;
SEVILLA;SEVILLA;TRANS BULL & SERR SL;;;;;;;;;;954520965;info@transportesbulnes.com;;
BARCELONA;MADRID;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
GUIPUZCOA;BARCELONA;ENLAZA PLATAFORMA VALENCIA S.L.U.;;;;;;;;;;965504050;RECOGIDAS@PBXVALENCIA.COM;;
VALENCIA;TARRAGONA;TRANSMUAL SOLUCIONES LOGISTICAS S.L.;;;;;;;;;;623588315;trafico@logisticatransmual.com;;
NAVARRA;VALENCIA;GRUPAJES ESTRATEGICOS S.L.;;;;;;;;;;666676078;grupajes.es@gmail.com;;
VALENCIA;SORIA;OPERADOR LOGISTICO LOPEZ S.L.;;;;;;;;;;961520852;recogidas@operadorlogisticolopez.com;;
VALENCIA;ZARAGOZA;JORGE BONDIA TRANSPORTS S.L.;;;;;;;;;;670357919;trafico@jorgebondiatransports.es;;
ALBACETE;VALENCIA;TRANSPORTES FERNANDEZ S.L.U.;;;;;;;;;;963421585;carmen@transportesfernandez.es;;
TOLEDO;VALENCIA  ;TRANSPORTES JOSE-ANGEL MORENO SL;;;;;;;;;;658777411;transportesjoseamf@gmail.com;;
BARCELONA;LA CORUÑA;TRANSCASILLAS SL;;;;;;;;;;982100110;transcasillas@gmail.com;;
CASTELLON;VALENCIA ;JULIO SANCHIS MORA;;;;;;;;;;679438563;lachata-18@hotmail.com;;
REUS;REUS;TRANSFONT S.L.;;;;;;;;;;933362697;transfont@transfont.com;;
ALGECIRAS;MALAGA;LOGISTICA Y PAQUETERÍA HORECA S.L.;;;;;;;;;;610291305;trafico2@lphlogistica.com;;
VALENCIA;GRANADA;CARGOCASITODO S.L.;;;;;;;;;;953033790;trafico@cargocasitodo.com;;
MADRID;TOLEDO;GRUPO LOGISTICO PULIDO S.L.;;;;;;;;;;925701909;administracion@glpulido.com;;
BARCELONA;MADRID;CUALDE LOGISTICS S.L.U.;;;;;;;;;;667433296;trafico@cualde.com;;
VALENCIA;CIUDAD REAL;TRANSPORTES FERNANDEZ S.L.U.;;;;;;;;;;963421585;carmen@transportesfernandez.es;;
VALENCIA;GUADALAJARA;TRANS JOAQUIN BUENDIA S.L.U.;;;;;;;;;;961514924;info@transjbuendia.com;;
BARCELONA;LA RIOJA;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
MALAGA;SEVILLA;TRANS BULL & SERR SL;;;;;;;;;;954520965;info@transportesbulnes.com;;
VALENCIA;MADRID ;TRANS JOAQUIN BUENDIA S.L.U.;;;;;;;;;;961514924;info@transjbuendia.com;;
CASTELLON;VALENCIA;VELOCITY TRANSINTERNACIONAL S.L.;;;;;;;;;;961977960;trafico@transportevelocity.com;;
VALENCIA;CASTELLON;VELOCITY TRANSINTERNACIONAL S.L.;;;;;;;;;;961977960;trafico@transportevelocity.com;;
CADIZ;VALENCIA;SNARTRES LOGISTICS S.L.;;;;;;;;;;918771840;ruben.anton@sertrans.es;;
BARCELONA;VALENCIA ;SEBASTIAN ORTEGA PEREZ;;;;;;;;;;677477987;sebas.ortega.perez@gmail.com;;
TOLEDO;MADRID;NINJATRUCK S.L. ONTRUCK;;;;;;;;;;911985446;ops@ontruck.com;;
CORDOBA;SEVILLA;ALEJANDRO TOMAS IZQUIERDO TENA;;;;;;;;;;603405050;amit.transportes@gmail.com;;
SEVILLA;SEVILLA;EDUARDO MANUEL BULNES SERRANO;;;;;;;;;;607344248;info@transportesbulnes.com;;
BARCELONA;GUADALAJARA;GLOBAL ARION LOGISTICS S.L.;;;;;;;;;;617166500;trafico@globalarion.com;;
TOLEDO;BARCELONA;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
SEVILLA;BADAJOZ;JOSE ANTONIO MOYA VAZQUEZ;;;;;;;;;;666457178;joseantoniomoyavazquez@gmail.com;;
SEVILLA;MALAGA;ANTONIO JESUS LOPEZ CARRION;;;;;;;;;;685815968;transporteslopcarr@gmail.com;;
SEVILLA;SEVILLA;ANTONIO JESUS LOPEZ CARRION;;;;;;;;;;685815968;transporteslopcarr@gmail.com;;
SEVILLA;SEVILLA;TRANSPORTES MOYA LOGISTICA INTEGRAL SL;;;;;;;;;;608553000;luis.m.moya.v@gmail.com;;
CASTELLON;MADRID;VELOCITY TRANSINTERNACIONAL S.L.;;;;;;;;;;961977960;trafico@transportevelocity.com;;
VALENCIA;ASTURIAS;GUTTRANS S.L;;;;;;;;;;985980876;info@guttrans.com;;
BARCELONA;ZARAGOZA;CUALDE LOGISTICS S.L.U.;;;;;;;;;;667433296;trafico@cualde.com;;
VALENCIA;SALAMANCA;OPERADOR LOGISTICO LOPEZ S.L.;;;;;;;;;;961520852;recogidas@operadorlogisticolopez.com;;
CACERES;VALENCIA;ACOSTA GOMEZ ANTONIO;;;;;;;;;;679860346;antonioysaratrans@hotmail.com;;
BARCELONA;PONTEVEDRA;CUALDE LOGISTICS S.L.U.;;;;;;;;;;667433296;trafico@cualde.com;;
VALENCIA;BURGOS;OPERADOR LOGISTICO LOPEZ S.L.;;;;;;;;;;961520852;recogidas@operadorlogisticolopez.com;;
GRANADA;VALENCIA;CARGOCASITODO S.L.;;;;;;;;;;953033790;trafico@cargocasitodo.com;;
ALICANTE;BARCELONA;MULTISERVICIOS EXPRESS S.L.;;;;;;;;;;965070809;trafico.gestion@multiserviciosexpress.es;;
MADRID;TOLEDO;NINJATRUCK S.L. ONTRUCK;;;;;;;;;;911985446;ops@ontruck.com;;
GUADALAJARA;MADRID;NINJATRUCK S.L. ONTRUCK;;;;;;;;;;911985446;ops@ontruck.com;;
CACERES;VALENCIA;SIMEON PABLO ROMERO TRINIDAD;;;;;;;;;;659086976;ROMEROTRINIDADSIMEON@GMAIL.COM;;
ZARAGOZA;VALENCIA;JORGE BONDIA TRANSPORTS S.L.;;;;;;;;;;670357919;trafico@jorgebondiatransports.es;;
BARCELONA;ALAVA;GRUPAJES ESTRATEGICOS S.L.;;;;;;;;;;666676078;grupajes.es@gmail.com;;
VALENCIA;CACERES;ENLAZA PLATAFORMA VALENCIA S.L.U.;;;;;;;;;;965504050;RECOGIDAS@PBXVALENCIA.COM;;
MADRID;GUADALAJARA;TRANS ARIJA S.L.;;;;;;;;;;647358269;trans-arija@hotmail.com;;
BARCELONA;MADRID;TATIANA BEZMAN BEZMAN;;;;;;;;;;663499040;TANIABEZMAN@YAHOO.ES;;
VALENCIA;BADAJOZ;ENLAZA PLATAFORMA VALENCIA S.L.U.;;;;;;;;;;965504050;RECOGIDAS@PBXVALENCIA.COM;;
GUIPUZCOA;VALENCIA;FRANCISCO REOLID ZORRILLA;;;;;;;;;;964530384;trafico@pacoreolid.es;;
ASTURIAS;VALENCIA;AGENCIA TRANSPORTES ROBLEDO S.L.;;;;;;;;;;936388321;celso@robledologistics.com;;
VALENCIA;GUIPUZCOA;FRANCISCO REOLID ZORRILLA;;;;;;;;;;964530384;trafico@pacoreolid.es;;
GUIPUZCOA;GUIPUZCOA;ALMACENAJE Y DISTRIBUCIÓN DEL NORTE S.L;;;;;;;;;;946713055;comercial@aldinor.com;;
VALLADOLID ;VALENCIA;ENLAZA PLATAFORMA VALENCIA S.L.U.;;;;;;;;;;965504050;RECOGIDAS@PBXVALENCIA.COM;;
VALENCIA;CUENCA;TRANSPORTES FERNANDEZ S.L.U.;;;;;;;;;;963421585;carmen@transportesfernandez.es;;
MADRID ;BARCELONA;SERTRANS CATALUNYA S.A.;;;;;;;;;;934627767;juanrodriguez@sertrans.es;;
CANTABRIA;BARCELONA;BARRASA PUENTE JOSE ANGEL;;;;;;;;;;647469382;jakankel@hotmail.com;;
VALENCIA;ASTURIAS;AGENCIA TRANSPORTES ROBLEDO S.L.;;;;;;;;;;936388321;celso@robledologistics.com;;
PONTEVEDRA;BARCELONA;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
VIZCAYA;BARCELONA;ALQUILERES ORTIZ SOLIS;;;;;;;;;;620069008;trafico@transortiz.es;;
VIZCAYA;BARCELONA;MARTINEZ DE ILARDUYA CARLOS;;;;;;;;;;638759620;;;
SEVILLA;CADIZ;ANTONIO JESUS LOPEZ CARRION;;;;;;;;;;685815968;transporteslopcarr@gmail.com;;
SEVILLA;CADIZ;TRANS BULL & SERR SL;;;;;;;;;;954520965;info@transportesbulnes.com;;
SEVILLA;CORDOBA;TRANS BULL & SERR SL;;;;;;;;;;954520965;info@transportesbulnes.com;;
SEVILLA;HUELVA;JOSE ANTONIO MOYA VAZQUEZ;;;;;;;;;;666457178;joseantoniomoyavazquez@gmail.com;;
FRANCIA;BARCELONA;TRANSMEC DE BORTOLI GROUP ESPAÑA S.A;;;;;;;;;;650372626;a.loeches@tdbg.es;;
VALENCIA;VALENCIA;JULIO SANCHIS MORA;;;;;;;;;;679438563;lachata-18@hotmail.com;;
ITALIA;BARCELONA;IBERCONDOR BARCELONA S.A.;;;;;;;;;;934874761;oalvarez.bcn@ibercondor.com;;
ZAMORA;VALENCIA;ENLAZA PLATAFORMA VALENCIA S.L.U.;;;;;;;;;;965504050;RECOGIDAS@PBXVALENCIA.COM;;
BARCELONA;GUADALAJARA;TRANSPORTES VKL 2009 S.L.;;;;;;;;;;647195877;transportesvkl@hotmail.com;;
madrid;VALENCIA;TRANS JOAQUIN BUENDIA S.L.U.;;;;;;;;;;961514924;info@transjbuendia.com;;
TOLEDO;VALENCIA  ;NINJATRUCK S.L. ONTRUCK;;;;;;;;;;911985446;ops@ontruck.com;;
BARCELONA;BARCELONA;TRANS-PUIGGENE MESTRES S.L.;;;;;;;;;;973314657;info@tpuiggene.com;;
MADRID;MURCIA;TRANSPORTES GUERRERO 96 S.L.;;;;;;;;;;902301059;sandra@transportesguerrero.es;;
BARCELONA;MADRID;TRANSLOGICA 2010 S.L.;;;;;;;;;;954834746;logistica@transcalderon.com;;
VALENCIA;CASTELLON;JULIO SANCHIS MORA;;;;;;;;;;679438563;lachata-18@hotmail.com;;
VALENCIA;CASTELLON;VERDET CARRATALA S.A.;;;;;;;;;;961555052;vercasa@vercasa.net;;
BARCELONA;MADRID;TRANSPORTES VKL 2009 S.L.;;;;;;;;;;647195877;transportesvkl@hotmail.com;;
ALAVA;BARCELONA;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
BARCELONA;BURGOS;CUALDE LOGISTICS S.L.U.;;;;;;;;;;667433296;trafico@cualde.com;;
GUADALAJARA;VALENCIA  ;NINJATRUCK S.L. ONTRUCK;;;;;;;;;;911985446;ops@ontruck.com;;
MADRID;VALLADOLID;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
VALENCIA;ALBACETE;SIMON ALMANSA S.L. - TTES.SIMON;;;;;;;;;;967341578;b.saez@transportessimon.com;;
CORUÑA;MADRID;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
ASTURIAS;MADRID;GUTTRANS S.L;;;;;;;;;;985980876;info@guttrans.com;;
GUIPUZCOA;BARCELONA;GRUPAJES ESTRATEGICOS S.L.;;;;;;;;;;666676078;grupajes.es@gmail.com;;
BARCELONA;MADRID;TRANS FUENTES LOGISTICAS.L.;;;;;;;;;;937476140;administracion@transfuentes.com;;
MONTBLANC;BARCELONA;TRANSFONT S.L.;;;;;;;;;;933362697;transfont@transfont.com;;
BARCELONA;VALENCIA ;TRANSMUAL SOLUCIONES LOGISTICAS S.L.;;;;;;;;;;623588315;trafico@logisticatransmual.com;;
SEVILLA;CADIZ;EDUARDO MANUEL BULNES SERRANO;;;;;;;;;;607344248;info@transportesbulnes.com;;
VALLADOLID;MADRID;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
BARCELONA;MADRID;SERTRANS CATALUNYA S.A.;;;;;;;;;;934627767;juanrodriguez@sertrans.es;;
TERUEL;VALENCIA;COOP.DE TTES DEL BAJO ARAGON S.C.L.;;;;;;;;;;978830385;;;
GUADALAJARA;VALENCIA  ;TRANS ARIJA S.L.;;;;;;;;;;647358269;trans-arija@hotmail.com;;
SEVILLA;SEVILLA;ALEJANDRO TOMAS IZQUIERDO TENA;;;;;;;;;;603405050;amit.transportes@gmail.com;;
BARCELONA;MADRID;EMDIPA S.L;;;;;;;;;;917480183;ops.mad@emdipa.com;;
BARCELONA;ASTURIAS;AGENCIA TRANSPORTES ROBLEDO S.L.;;;;;;;;;;936388321;celso@robledologistics.com;;
CADIZ;SEVILLA;EDUARDO MANUEL BULNES SERRANO;;;;;;;;;;607344248;info@transportesbulnes.com;;
BARCELONA;GUADALAJARA;CONSIGNACIONES Y TRANSPORTES SIES S.L.;;;;;;;;;;935885318;sies@sies.es;;
LEON;VALENCIA;ARVELOZ LOGISTICA S.L.;;;;;;;;;;947507289;trafico@arveloz.com;;
BARCELONA;GUADALAJARA;CUALDE LOGISTICS S.L.U.;;;;;;;;;;667433296;trafico@cualde.com;;
PONTEVEDRA;CORUÑA;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
ORENSE;VALENCIA;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
VIZCAYA;VIZCAYA;ALMACENAJE Y DISTRIBUCIÓN DEL NORTE S.L;;;;;;;;;;946713055;comercial@aldinor.com;;
MURCIA;BARCELONA;BERNATRANS LOGISTICA S.L.;;;;;;;;;;669859675;administracion@barnatranslogistica.com;;
MADRID;VIZCAYA;RIOJA PALET EXPRES S.L.;;;;;;;;;;941257846;comercial@sainztransportes.com;;
BARCELONA;ASTURIAS;GUTTRANS S.L;;;;;;;;;;985980876;info@guttrans.com;;
MADRID;MADRID;NINJATRUCK S.L. ONTRUCK;;;;;;;;;;911985446;ops@ontruck.com;;
MADRID;ALICANTE;MULTISERVICIOS EXPRESS S.L.;;;;;;;;;;965070809;trafico.gestion@multiserviciosexpress.es;;
CIUDAD REAL;MADRID;TRANSPORTES FERNANDEZ S.L.U.;;;;;;;;;;963421585;carmen@transportesfernandez.es;;
VALENCIA;NAVARRA;JORGE BONDIA TRANSPORTS S.L.;;;;;;;;;;670357919;trafico@jorgebondiatransports.es;;
BARCELONA;PONTEVEDRA;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
BARCELONA;CASTELLON;VERDET CARRATALA S.A.;;;;;;;;;;961555052;vercasa@vercasa.net;;
VIZCAYA;BARCELONA;LGK S.L.;;;;;;;;;;946257540;LGK@LGK.ES;;
ZARAGOZA;MADRID;ENLAZA PLATAFORMA VALENCIA S.L.U.;;;;;;;;;;965504050;RECOGIDAS@PBXVALENCIA.COM;;
GUIPUZCOA;MADRID;GLOBAL ARION LOGISTICS S.L.;;;;;;;;;;617166500;trafico@globalarion.com;;
VALLADOLID;BARCELONA;TRANS-JELABEL S.L.;;;;;;;;;;983528033;alfonso.robles-extern@dbschenker.com;;
BARCELONA;LUGO;CUALDE LOGISTICS S.L.U.;;;;;;;;;;667433296;trafico@cualde.com;;
BARCELONA;MADRID;RODIA GRUPAJES S.L.;;;;;;;;;;976654127;gasolineraurrea@yahoo.com;;
BADAJOZ;VALENCIA;MAÑERO TRANSPORTES E HIJOS S.L;;;;;;;;;;924373415;trafico@manerotrans.com;;
BARCELONA;GERONA;CUALDE LOGISTICS S.L.U.;;;;;;;;;;667433296;trafico@cualde.com;;
ZARAGOZA;VALENCIA;ENLAZA PLATAFORMA VALENCIA S.L.U.;;;;;;;;;;965504050;RECOGIDAS@PBXVALENCIA.COM;;
CUENCA;BARCELONA;TRANSPORTES FERNANDEZ S.L.U.;;;;;;;;;;963421585;carmen@transportesfernandez.es;;
VALENCIA;PONTEVEDRA;GALITRUCK LOGISTICA S.L.;;;;;;;;;;886060651;galitrucklogistica@galitruck.com;;
